Question,Correct Answer,Option 1,Option 2,Option 3,Option 4,Option 5,Option 6,Option 7,Option 8,Option 9,Option 10,Option 11,Option 12,Option 13,Option 14,Option 15,Option 16,Option 17,Option 18,Option 19,Option 20,Option 21,Option 22,Option 23,Option 24,Option 25,Option 26,Option 27,Option 28,Option 29,Option 30,Option 31,Option 32,Option 33,Option 34,Option 35,Option 36,Option 37,Option 38,Option 39,Option 40,Option 41,Option 42,Option 43,Option 44,Option 45,Option 46,Option 47,Option 48,Option 49,Option 50,Option 51,Option 52,Option 53,Option 54,Option 55,Option 56,Option 57,Option 58,Option 59,Option 60,Option 61,Option 62,Option 63,Option 64,Option 65,Option 66,Option 67,Option 68,Option 69,Option 70,Option 71,Option 72,Option 73,Option 74,Option 75,Option 76,Option 77,Option 78,Option 79,Option 80,Option 81,Option 82,Option 83,Option 84,Option 85,Option 86,Option 87,Option 88,Option 89,Option 90,Option 91,Option 92,Option 93,Option 94,Option 95,Option 96,Option 97,Option 98,Option 99,Option 100,Option 101,Option 102,Option 103,Option 104,Option 105,Option 106,Option 107,Option 108,Option 109,Option 110,Option 111,Option 112,Option 113,Option 114,Option 115,Option 116,Option 117,Option 118,Option 119,Option 120,Option 121,Option 122,Option 123,Option 124,Option 125,Option 126,Option 127,Option 128,Option 129,Option 130,Option 131,Option 132,Option 133,Option 134,Option 135,Option 136,Option 137,Option 138,Option 139,Option 140,Option 141,Option 142,Option 143,Option 144,Option 145,Option 146,Option 147
Хайз цикли бузилишига олиб келуввчи этиологик фактор:,"психик стресс,авитаминоз,касб зарарлиги",".тез тугиш,БИВ,УТТ",гипоталамо-гипофиз сохани ешга кура узгариши вояга етиш даврида,"психик стресс,авитаминоз,касб зарарлиги","купхомила,БИВ,УТТ","физик зурикиш,БИВ,УТТ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ички жинсий аъзоларга инфекция таркалиши йули:,"жинсий,контакт,гематоген,лимфоген","хако-томчи,гематоген,лимфоген","перинефрал,гематоген,лимфоген","интраканаликуляр,гематоген,лимфоген","жинсий,контакт,гематоген,лимфоген",хеч кайси,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ОК кандай холатларда тухтатилади:,"2кундан ортик ичмаганда,хомиладорлик булса",хеч кайси,гениталий яллигланиш касалликлари,"мастопатия,препаратни индивидуал кутара олмаслик","гипертериоз,препаратни индивидуал кутара олмаслик","2кундан ортик ичмаганда,хомиладорлик булса",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Контрацепция буйича самарали консультация утказиш моментлари:,"контрацепция усули хохишга кура танланади,тугри ва эффектив кулланилади","контрацепция усули хохишга кура танланади,тугри ва эффектив кулланилади","врач конльтант томонидан танланди,контрацепция куллаш двомийлиги узайтирилади","контрацепцияножуя таъсирга эга эмас,контрацепция куллаш двомийлиги узайтирилади",пациент бошкаусулга утиш мумкин,хеч кайси,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Консультация утказиш асосий этаплари:,"Бирламчи ,конкрет усулга кура",".учламчи,бирламчи,конкрет усулга кура","Бирламчи ,конкрет усулга кура","умумий,бирламчи,конкрет усулга кура","кичик гурухларда консультация,бирламчи,конкрет усулга кура",хеч кайси,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Кандй холатда аел хомиладорлиги йуклигига ишонч хосил килиш мумкин:,У тугри ва тухтатмасдан эффектив усулдан фойдаланади,"тугрукдан сунг 3 ой утди,болани смесь билан бокади,хайз келмаган",охирги хйздан 10 кун утди,У тугри ва тухтатмасдан эффектив усулдан фойдаланади,кунаро норегуляр таблетка ичади,хеч кайси,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
КОК тури,"Регивидон,микрогинон,триквилар,тризистон","норколут,триквилар,тризистон","эксклютон,триквилар,тризистон","норстерат,триквилар,тризистон","Регивидон,микрогинон,триквилар,тризистон",хеч кайси,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ЧПК снанг,","эксклютон,мини-пили,депо-провера,нористерат",хеч кайси,"микрофоллин,тризистон,регивидон,мини-пили","постинор,тризистон,регивидон, микрофоллин,","тризистон,эксклютон,мини-пили,микрофоллин","эксклютон,мини-пили,депо-провера,нористерат",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Лактацион аменореяни она учун фойдаси:,"тугрукдан кейин тезда бачадон инволюцияси,бачадон,эндометрий,тухумдон ракидан химоя","тугрукдан кейин тезда бачадон инволюцияси,бачадон,эндометрий,тухумдон ракидан химоя","фертиллкни тез тикланиши,тугрукдан кейин тезда бачадон инволюцияси","юкори елка кисми мушакларини  мустахкамлайди,кукрак ракидан химоя",Бачадон субинволюциясига сабаб булади,хеч кайси,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ДХС афзалликлари:,"Юкори эффективлик .доимийлик,кам ножуя таъсир,жинсий алока билан боглик эмас","хохлаган вактда фертилликни тиклаш мумкинлиги,доимийлик,уз хохиши","Юкори эффективлик .доимийлик,кам ножуя таъсир,жинсий алока билан боглик эмас","тезда эффективлик,уз хохишига кура","хайз конини камайтиради,фертилликни хохлаган вактда тиклайди",хеч кайси,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
КОК да кандай гормон сакланади:,"эстроген,гестаген.","эстроген,гонадотропин","гонадотропин,гестаген","эстроген,гестаген.","кортикостероид,гонадотропин",Д.хеч кайси,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ЧПК сананг:,"мини-пили,нористерат,имплантант","спермицид,презерватив","Презерватив,в,спермицид","БИВ,мультилоид,презерватив","мини-пили,нористерат,имплантант","кин доираси,презерватив",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Усмирларга кайси контрацепция кул келади:,"КОК,презерватив,депо-провера,неотлож контрцептив","диафрагма,депо-провера,неотлож.контрцептив","ДХС,депо-провера,неолож.контрацептив","жинсий сакланиш,БИВ","КОК,презерватив,депо-провера,неотлож контрцептив",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36 ешдан катта аелларда хайз кечикиши сабаблари булиши мумкин:,"хомиладорлик,тухумдонлар перименопаузал дисфункцияси","хомиладорлик,тухумдонлар перименопаузал дисфункцияси","миома,хомилаорлик","тухумдонлар раки,хомиладорлик","тхмдонлар рака,бачадондан ташкари хомиладорлик",хеч кайси,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"36 ешдан ошган аелларга кандай контрацепция тавсия килиш мумкин,фарзандлари етарлича","ДХС,БИВ","узилган жинсий алока,КОК","ДХС,БИВ","диафрагма,ИПК","ИПК,ИК",хеч кайси,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Эркак ва аелларда ИППП белгилари:,"вагинал\уретрал ажралмалар,генитал яралар,корин пастидаги огрк","тана хароратини кутарилиши,генитал яралар,корин пастидаги огрик","ергок сохасида шиш ва огрик,генитал яралар ,корин пастида огрик","вагинал\уретрал ажралмалар,генитал яралар,корин пастидаги огрк","терида тошмалар,кунгил айниш,кусиш",хеч кайси,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ИППП утказган аелга кайси тур контрацепция тугри келади:,"БИВ,ДХС","КОК,ИК","депо-провера,КОК","презерватив,ЧПК","БИВ,ДХС",ИК,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Презерватив афзалликлари:,"ЗППП дан химоя,репродуктив саломатликни саклайди",хеч кайси,эффктив усул,партнерга билдирмаслик мумкин,ЗПППдан химоя килмайди,"ЗППП дан химоя,репродуктив саломатликни саклайди",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Спермицид камчиликлари:,"жинсий алока билан боглик,эфффектив эмас","жинсий алока билан боглик,эфффектив эмас",кукрак сутига таъсир килади,хайз цикли бузилганларга куллаш мумкин эмас,презерватив билан бирг куллаш керак,хеч кайси,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
диафрагмаларни куллашда нимага эътибор бериш керак:,"анамнезида токсик шок,бачадон пролапси,кайта инфекциялар","анамнезида инсульт ва инфаркт,яллигланиш касалликлари","анамнезида токсик шок,бачадон пролапси,кайта инфекциялар","кукрак билан эмизиш,хомиладорлик,бачадон пролапси","инсульт ва инфаркт,бачадон пролапси",истмико-цервикал етишмовчилик,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Мини абаот кайси муддатларда утказилади:,4-хафтагача,8-9 хафта,6-8 хафтагача,4-хафтагача,12хафтдан кейин,2-3 ойликда,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Бир фазали хайз цикли ифодаланади:,"хайз 2фазасида КПИ40-50%етади,ректал харорат монофазали","ректал харорат 2фазада кутарилиб,10 кун ушланади",хайз цикли 1ярмида 37\0дан баланд,ректал харорат икифазали,"хайз 2фазасида КПИ40-50%етади,ректал харорат монофазали","хайзга 1-2 кун аввал биопсия килинса,эндометрий секреция фазасида",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Трихомонадли кольпитни кайси клиник белги ва лабораторияга асосланиб куриш мумкин:,"кинда кичиш ва кизиш,йирингли ажралма,яшил рангли",хеч кайси,узгариш йук,бактериоскопияда кин тозалиги 2 даража,"кузгуларда курганда ок рангли сохалар,атроф тукимадан ажралиб туради","кинда кичиш ва кизиш,йирингли ажралма,яшил рангли",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Бачадон миомаси асоратлари:,"тугун некрози,бепуштлик","тугун некрози,бепуштлик","гирсутизм,метаболик узгариш",маскулинизация,бачадон тушиши,иккиламчи аменорея,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Кистома оекчасининг буралиши белгилари:,"корин парда таъсрланиши с-ми,корин пастида уткир огрик",икки томонлама туртки с-ми мусбат,"корин парда таъсрланиши с-ми,корин пастида уткир огрик",корин парда таъсирланиш белгилари йук,доимий утмас огриклар,бимануал курганда тухумдонлар сохасида усмасимон хосила,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Кольпоскопияга карши курсатма:,Бачадон буйни эрозиясига ва раакка шубха килинганда,барча гинекологик беморлар утиши шарт,карши курсатмалар йук,Бачадон буйни эрозиясига ва раакка шубха килинганда,хомиладорлик,бачадондан ташкари хомиладорлик,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Бачадон холатини текшириш:,"бимануал,эндометрийни кириш ва гистологик текшириш",гидротубация,"гидротубация,орка гумбаз пункцичси",орка гумбаз пункцияс,"бимануал,эндометрийни кириш ва гистологик текшириш",гонадотропинларни текшириш,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Эндометритда инфицирланиш йули:,бачадон ичи муолажалари,бачадон ичи муолажалари,Гематоген,лимфоген,гематоген ва лимфоген,хаво-томчи,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Куйидагилардан кай бирида эндорметрий гиперплазияси кузатилади?,тухумдонлар поликистози,A. эндодермал синус усмаси,тератома,дисгерминома,тухумдон стромаси усмаси,тухумдонлар поликистози,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Перименопаузада кайси ЗГТ кулланилди:,Фемостон,Фемостон,регивидон,эксклютон,диане-35,логест,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ЗГТни куллашга карши курсатма :,Онкологик касалликлар,нафас йуллари касалликлари,Онкологик касалликлар,нерв системаси касалликлари,ошкозон-ичак системаси касалликлари,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ЗГТ ни куллашдан олдин керак булмаган текшириш усули :,Буйрак ва жигар УТТ текшириши,A. гинекологик курув,"Кин ойналари оркали куриш,бактериоскопик текширув",Буйрак ва жигар УТТ текшириши,маммография,гормонал текширувлар,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Кандай клиник куринишларда ЗГТ кулланилади?,"Остеопороз,кизиш,терлаш,кин куруклиги",Бачадон буйнида эрозияли майдоннинг мавжудлиги,"Кон кетиш,биологик пробаларда ХГ нинг мавжудлиги",барчаси нотугри,"Остеопороз,кизиш,терлаш,кин куруклиги","Асцит,лютеин кисталарининг мавжудлиги",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ЗГТ учун кандай препаратлар бор:,барчаси тугри.,прогестаген ва андроген сакловчи,эстроген сакловчи,эстоген ва простаген сакловчи,эстроген ва андроген сакловчи,барчаси тугри.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Климактерик синдром клиникаси:,A.Барчаси тугри,A.Барчаси тугри,менструация бузилиши,"кизиш,терлаш",кин куруклиги,урогенитал бузилишлар,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Климактерик узгаришларда куйидаги кайси ногормонал препарат куллаш мумкин,ременс,A..утрожестан,ременс,фемостон,климонорм,дюфастон,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ЗГТ афзаллиги:,Барчаси тугри,A.менструал циклни яхшилайди,климактерик белгиларни йукотади,Барчаси тугри,огригли менструацияларда яхши самара беради,остеопороз профилактикаси,C.кольпит,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Перименопаузада замонавий усуллар:,ЗГТ,фитотерапия,гипотензив,седатив,ЗГТ,хеч кайси,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Бепуштлик сабаблари булиши мумкин :,"Д .бачадон сили,токсоплазмоз,ЦМВ,хламидиоз .",фитотерапия,"кольпит,гепатит",варикозкасаллиги,"кин деворлари тушиши,","Д .бачадон сили,токсоплазмоз,ЦМВ,хламидиоз .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Бачадон шиллик каватини носпецифик этиологияли уткир яллигланишида кандай даво утказилади?,"антибиотик,десенсибилизация,сульфаниламид",.корин пастигадиатермия,иссик спринцеваниялар,корин пастига УВЧ,"антибиотик,десенсибилизация,сульфаниламид",гинекологик массаж,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Трихомонадкольпит давоси:,"пер ос трихопол,спринцевания калийперманганат Билан",А .сода эритмаси ванна,балчиг билан даволаш,пенницилин катори препаратлари,гентамицин,"пер ос трихопол,спринцевания калийперманганат Билан",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Бачадон бушлигини зонд билан ткширишга карши курсатма:,"артифициал аборт вактида перфорацияга шубха,бачадон субмукоз миомасига шубха","артифициал аборт вактида перфорацияга шубха,бачадон субмукоз миомасига шубха","миома,операция олдидан",бачадон буйни раки,уткир эндометрит,хомила тушиш  хавфи,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
сурункали аднексит  давоси:,овуляцияни стимуллаш максадида циклик равишда эстоген ва гестаген корин пастигадиатермия,протаргол билан ванна,овуляцияни стимуллаш максадида циклик равишда эстоген ва гестаген корин пастигадиатермия,"лапароскопия ,сальпинголизис",кузгалиш вактида антибиотиклар ва физиотерапия,корин пастига  муз,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Бачадон эндометриози белгилари:,"альгодисменорея,хайз цикли 2фазаси охирида эндометроид гетеротопияларни катталаши",аменорея,куп хайз кони келиши,"альгодисменорея,хайз цикли 2фазаси охирида эндометроид гетеротопияларни катталаши",ациклик бачадондан кон кетиш,Д . рентгенограммада тулиш дефекти,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Бачадон миомасини оператив давога карши курсатма:,"6-7 хафталик миома,субмуко миома",интерстициал миома 6-7 хафталик,"полименорея,кон кетиш",озикланиши бузилган миома,"6-7 хафталик миома,субмуко миома",10-11хафталик миома,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Бачадондан ташкари хомиладорликка олиб келувчи сабаблар:,"б\ортиклари яллигланиши,найлар функционал етишмовчилиги",.тез -тез тугиш,ортикча эндометрийни кириш,экстрагенитал касалликлар,кин тушиши,"б\ортиклари яллигланиши,найлар функционал етишмовчилиги",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Бачадон осилиши ва тушиши олиб келувчи сабаблар:,оралик йиртилиши,оралик йиртилиши,хомиладорлик вактида гестоз,б\ортиклари яллигланиши,б\буйни 2даража  йиртилиши,хайз цикли бузилиши,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Бачадон сурилиши диагностика килиш учун кулланилади:,ики кул билан кин корин текшириш,.ректал текшириш,ики кул билан кин корин текшириш,бачадонни зондлаш,кузгулар ердамида куриш,рентгенологик текшириш,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Операциядан кейинги холатни  назорат килиш учун кайси лаборатор текшириш утказилади:,"Д .Конни клиник анализи,ЭКГ",.ректоскопия,вагинал курув,ЭЭГ,курак кафаси рентгенографияси,"Д .Конни клиник анализи,ЭКГ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
